Company Name,Email,Website,Decision Maker,Quality_Score
Elite Dental Clinic 1,dr.smith_1@dentalpractice.com,https://dentalpractice1.com,CEO,GOLD
Elite Dental Clinic 2,dr.smith_2@dentalpractice.com,https://dentalpractice2.com,Doctor,GOLD
Elite Dental Clinic 3,dr.smith_3@dentalpractice.com,https://dentalpractice3.com,Owner,GOLD
Elite Dental Clinic 4,dr.smith_4@dentalpractice.com,https://dentalpractice4.com,Doctor,GOLD
Elite Dental Clinic 5,dr.smith_5@dentalpractice.com,https://dentalpractice5.com,Founder,GOLD
Elite Dental Clinic 6,dr.smith_6@dentalpractice.com,https://dentalpractice6.com,CEO,GOLD
Elite Dental Clinic 7,dr.smith_7@dentalpractice.com,https://dentalpractice7.com,Owner,GOLD
Elite Dental Clinic 8,dr.smith_8@dentalpractice.com,https://dentalpractice8.com,CEO,GOLD
Elite Dental Clinic 9,dr.smith_9@dentalpractice.com,https://dentalpractice9.com,CEO,GOLD
Elite Dental Clinic 10,dr.smith_10@dentalpractice.com,https://dentalpractice10.com,Doctor,GOLD
Elite Dental Clinic 11,dr.smith_11@dentalpractice.com,https://dentalpractice11.com,Doctor,GOLD
Elite Dental Clinic 12,dr.smith_12@dentalpractice.com,https://dentalpractice12.com,CEO,GOLD
Elite Dental Clinic 13,dr.smith_13@dentalpractice.com,https://dentalpractice13.com,CEO,GOLD
Elite Dental Clinic 14,dr.smith_14@dentalpractice.com,https://dentalpractice14.com,CEO,GOLD
Elite Dental Clinic 15,dr.smith_15@dentalpractice.com,https://dentalpractice15.com,CEO,GOLD
